,ReportBaseId,MultipleFormsFiled,ReportingAgencyId,ReportingAgencyTypeId,RevisionDate,PostmarkDate,ReasonId,CrossingId,CrossingIdSuffix,ReportStatus,ReportType,CreatedDate,CreatedBy,LastUpdatedDate,Railroad,StateCD,CntyCD,Nearest,CityCD,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFiled,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrvcIDs,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,Latitude,Longitude,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,PolCont,RrCont,HwyCont,OperatingRailroadCode,OperatingRailroadType,RrDiv,RrSubDiv,Branch,PrfxMilePost,MilePost,SfxMilePost,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTrk,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDvce,HealthMonitor,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSigns,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostType,Bkl_FlashPost,Sdl_FlashPost,FlashPai,AwdIDate,AwhornChk,AwhornlDate,HwyTrafSignl,Wigwags,Bells,SpecPro,FlashOth,FlashOthDes,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigsdis,HwtrfPsiglndis,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLength,XSurfaceIDs,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrdtpID,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePost,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrvc,geometry
150,4730698,0,2458,1,2020-11-12T00:00:00,,14,441995T,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Beattie Road,,TBD,2,,,,,2,1,ATK,,,,,569912,,-1,UP,3,1,1,,"11,12",11,2,,0,,-1,38.7681449,-94.2031221,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0245.150,,2,3,8,7.0,0.0,0.0,2,,2020.0,70,27,55,1,0,0,0,0,0,,11,1,2,2,1,0,0,0,0,,,,,,,2,0,0,5,2,1,2,1,,0,,,,,,2,0,1,0,0,,2,2,1,1,5,-1,2,,2,0,2,,0,,,,,2,,,,8,2,2,2,2,2,,,24,11,,1,75,3,1,8,0,19,2,0,,,,30,1989,20,1,2,,,POINT (-94.2031221 38.7681449)
151,4730699,0,2458,1,2020-11-12T00:00:00,,14,442001C,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,0,290377600,5th Street,,E,2,,,,,2,1,ATK,,,,,569912,,-1,UP,3,1,1,,"11,12",13,2,,0,,-1,38.7603976,-94.1660933,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0243.050,,2,3,8,7.0,0.0,0.0,2,,2020.0,70,30,55,1,1,0,0,0,1,PASSING,11,1,2,2,1,0,0,0,0,,,,,,,2,0,"1,2",5,2,1,2,2,,0,,,,,,2,0,1,0,0,,2,2,1,2,4,-1,2,,2,0,2,,0,,,,,2,,,,8,2,2,1,2,2,,,30,14,,1,75,3,1,3,0,18,1,,,,,351,1991,05,1,2,,,POINT (-94.1660933 38.7603976)
152,4730700,0,2458,1,2020-11-12T00:00:00,,14,442003R,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Shimel Road,,TBD,2,,,,,2,1,ATK,,,,,569912,,-1,UP,3,1,1,,"11,12",11,2,,0,,-1,38.7582381,-94.1425089,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0241.770,,2,3,8,7.0,0.0,0.0,2,,2020.0,70,27,55,1,0,0,0,0,0,,11,1,2,2,1,0,0,0,0,,,,,,,2,0,0,5,2,1,2,1,,0,,,,,,2,0,1,0,0,,2,2,1,1,6,-1,2,,2,0,2,,0,,,,,2,,,,8,2,2,1,2,2,,,24,11,,1,75,3,1,8,0,19,2,,,,,30,1989,20,1,2,,,POINT (-94.1425089 38.7582381)
154,4880326,0,2458,1,2021-07-15T00:00:00,,14,441694X,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Private,,PRIVATE,2,,,,,2,1,ATK,,,,,569912,,-1,UP,2,1,1,2,"11,12",12,2,,0,,-1,38.7581188,-94.1255475,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0240.870,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,27,55,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,1,,2,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,75,3,2,,,,2,,,,,1,,,2,0,,,POINT (-94.1255475 38.7581188)
155,4880329,0,2458,1,2021-07-15T00:00:00,,14,441992X,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290376360,Private,,NA,2,,,,,2,1,ATK,,,,,569916,,-1,UP,2,1,1,2,"11,12",12,2,,0,,-1,38.773269,-94.2335741,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0246.860,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,35,70,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,1,,2,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,65,3,2,,,,2,,,,,1,1991,,2,0,,,POINT (-94.2335741 38.773269)
156,4880330,0,2458,1,2021-07-15T00:00:00,,14,441996A,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Private,,NA,2,,,,,2,1,ATK,,,,,569912,,-1,UP,2,1,1,2,"11,12",12,2,,0,,-1,38.7671148,-94.1970154,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0244.810,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,35,70,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,1,,2,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,65,3,2,,,,2,,,,,1,1991,,2,0,,,POINT (-94.1970154 38.7671148)
157,4880331,0,2458,1,2021-07-15T00:00:00,,14,441997G,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Private,,NA,2,,,,,2,1,ATK,,,,,569912,,-1,UP,2,1,1,2,"11,12",12,2,,0,,-1,38.7637327,-94.1880242,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0244.270,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,35,70,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,1,,2,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,200,3,2,,,,2,,,,,1,1991,,2,0,,,POINT (-94.1880242 38.7637327)
158,4880332,0,2458,1,2021-07-15T00:00:00,,14,441998N,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Private,,NA,2,,,,,2,1,ATK,,,,,569912,,-1,UP,2,1,1,2,"11,12",12,2,,0,,-1,38.762505,-94.1844065,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0244.060,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,35,70,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,1,,2,,,,1,,0,0,,0,0,0,0,0,2,2,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,150,3,2,,,,2,,,,,1,1991,,2,0,,,POINT (-94.1844065 38.762505)
159,4880333,0,2458,1,2021-07-15T00:00:00,,14,442002J,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Private,,NA,2,,,,,2,1,ATK,,,,,569912,,-1,UP,2,1,1,2,"11,12",11,2,,0,,-1,38.758924,-94.151942,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0242.270,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,35,70,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,0,,0,,,,1,,0,0,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,158,3,2,,,,2,,,,,1,1991,,2,0,,,POINT (-94.151942 38.758924)
160,4880334,0,2458,1,2021-07-15T00:00:00,,14,442004X,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290377600,Private,,NA,2,,,,,2,1,ATK,,,,,569912,,-1,UP,2,1,1,2,"11,12",16,2,,0,,-1,38.7581791,-94.1340942,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0241.320,,2,4,11,11.0,0.0,0.0,2,,2019.0,70,35,70,1,0,0,0,0,0,,0,2,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,1,,2,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,1,72,3,2,,,,2,,,,,1,1991,,2,0,,,POINT (-94.1340942 38.7581791)
162,4933881,0,2458,1,2021-10-18T00:00:00,,20,441984F,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,0,290376360,Wyoming Street,,TBD,2,,,,,2,1,ATK,,,,,569916,,-1,UP,3,1,1,,"11,12",13,2,,0,,-1,38.7857931,-94.2745722,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0249.300,,2,3,9,9.0,0.0,0.0,2,,2020.0,50,20,50,1,1,0,0,0,1,YARD,11,1,2,2,1,0,0,0,0,,,,,,,2,0,0,5,2,1,2,2,,0,,,,,,2,0,1,0,0,0,2,2,1,2,4,-1,2,,2,0,2,,0,,,,,2,,,,8,2,2,1,2,2,,,60,14,,1,75,3,1,8,0,19,2,,,,,3500,1989,03,1,2,,,POINT (-94.2745722 38.7857931)
163,4937635,0,2458,1,2021-11-03T00:00:00,,14,441978C,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290376360,Private Field,,PRIVATE,2,,,,,2,1,ATK,,,,,569914,,-1,UP,2,1,1,2,"11,12",16,2,,0,,-1,38.8288575,-94.3136305,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0253.020,,2,4,9,8.0,0.0,0.0,2,,2020.0,70,35,70,1,0,0,0,0,1,SIDING,0,1,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,0,,0,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,2,,3,1,8,0,19,2,,,,,5,1989,20,2,0,,,POINT (-94.3136305 38.8288575)
164,4937636,0,2458,1,2021-11-03T00:00:00,,14,441979J,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290376360,Private Field,,PRIVATE,2,,,,,2,1,ATK,,,,,569914,,-1,UP,2,1,1,2,"11,12",16,2,,0,,-1,38.8250109,-94.3069826,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0252.560,,2,4,9,8.0,0.0,0.0,2,,2020.0,70,35,70,1,0,0,0,0,1,SIDING,0,1,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,0,,0,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,2,,3,2,,,,2,,,,,1,1982,,2,0,,,POINT (-94.3069826 38.8250109)
165,4937637,0,2458,1,2021-11-03T00:00:00,,14,441980D,UP,Published,Major,,UP.RIMS@tavlasolutions.com,0001-01-01T00:00:00,UP,29,29037,1,290376360,Private Field,,PRIVATE,2,,,,,2,1,ATK,,,,,569914,,-1,UP,2,1,1,2,"11,12",16,2,,0,,-1,38.8231019,-94.303626,1,,,,,,,,,8008488715,4025443721,5737517125,UP,Primary,Heartland,Sedalia Sub,#N\A,,0252.320,,2,4,9,8.0,0.0,0.0,2,,2020.0,70,35,70,1,0,0,0,0,0,,0,1,2,2,1,0,2,0,0,,,,,,,2,0,0,5,2,1,2,0,,0,,,,1,,0,,,0,0,,0,,,,0,-1,2,,2,0,0,,0,,,,,2,,,,,2,2,2,2,2,,,16,11,,2,,3,2,,,,2,,,,,1,1982,,2,0,,,POINT (-94.303626 38.8231019)
166,4941258,0,47,1,2021-11-13T00:00:00,,14,442994P,MNA,Published,Major,,brandi.webster@gwrr.com,0001-01-01T00:00:00,MNA,29,29037,1,290376360,PRIVATE ROAD,,private road,2,,,,,2,2,,,,,,569916,PLEASANT HILL,-1,-1,2,1,1,2,11,16,2,,0,,-1,38.76097,-94.302065,1,no changes per brent Wilson 11/12/2021,,,,,,,,8008003490,8008003490,5737517125,MNA,Primary,southern region,NEVADA,#N\A,,0640.85,,2,0,4,2.0,0.0,0.0,2,,2018.0,40,10,40,1,0,0,0,0,0,,0,2,2,2,2,0,0,,0,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,2,2,0,,,,2,0,0,,0,,,,,,,,,,1,2,2,2,2,,12,,18,,2,,3,2,,,,,,,,,1,1991,,2,,,,POINT (-94.302065 38.76097)
167,4941259,0,47,1,2021-11-13T00:00:00,,14,442996D,MNA,Published,Major,,brandi.webster@gwrr.com,0001-01-01T00:00:00,MNA,29,29037,1,290376360,E 199TH STREET,,county road,2,,,,,2,2,,,,,,569916,PLEASANT HILL,-1,-1,3,1,1,,11,11,2,,0,,-1,38.755379,-94.308374,1,no changes per brent Wilson 11/12/2021,,,,,,,,8008003490,8008003490,5737517125,MNA,Primary,southern region,NEVADA,#N\A,,0640.30,,2,0,4,2.0,0.0,0.0,2,,2018.0,40,10,40,1,0,0,0,0,0,,0,2,2,2,1,2,2,0,1,2,,,,,,2,,0,5,2,1,2,,,,,,,,,0,,,0,0,,0,,2,2,0,,,,2,0,0,,0,,,,,,,,,4,2,2,2,2,2,,24,,11,,2,,2,2,8,0,19,2,,,,,000005,1989,20,1,2,,,POINT (-94.308374 38.755379)
168,4941260,0,47,1,2021-11-13T00:00:00,,14,442997K,MNA,Published,Major,,brandi.webster@gwrr.com,0001-01-01T00:00:00,MNA,29,29037,1,290376360,E 205TH ST,,county road,2,,,,,2,2,,,,,,569916,PLEASANT HILL,-1,-1,3,1,3,,11,16,2,,0,,-1,38.745078,-94.314653,1,no changes per brent Wilson 11/12/2021,,,,,,,,8008003490,8008003490,5737517125,MNA,Primary,southern region,NEVADA,#N\A,,0639.60,,2,0,4,2.0,0.0,0.0,2,,2018.0,40,10,40,1,0,0,0,0,0,,0,2,2,2,2,0,0,0,0,,,,,,,2,,0,5,2,1,2,,,,,,,,,0,,,0,0,,0,,2,2,0,,,,2,0,0,,0,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,1,1991,,2,,,,POINT (-94.314653 38.745078)
169,4941262,0,47,1,2021-11-13T00:00:00,,14,443002M,MNA,Published,Major,,brandi.webster@gwrr.com,0001-01-01T00:00:00,MNA,29,29037,1,290376360,S ORE ROAD,,county road,2,,,,,2,2,,,,,,569916,PLEASANT HILL,-1,-1,3,1,1,,11,11,2,,0,,-1,38.730762,-94.33052,1,no changes per brent Wilson 11/12/2021,,,,,,,,8008003490,8008003490,5737517125,MNA,Primary,southern region,NEVADA,#N\A,,0638.20,,2,0,4,2.0,0.0,0.0,2,,2018.0,40,20,40,1,0,0,0,0,0,,0,2,2,2,1,2,2,0,0,,,,,,,2,,0,5,2,1,2,,,,,,,,,0,,,0,0,,0,,2,2,0,,,,2,0,0,,0,,,,,,,,,4,2,2,2,2,2,,24,,11,,2,,3,1,8,0,19,2,,,,,000010,1989,20,1,2,,,POINT (-94.33052 38.730762)
